Comment,Designator,Footprint,LCSC
D,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90",D_SOD-123,C81598
BACKSPACE,S1,STAB_MX_2u,
?,SW33,SW_MX_1u,
?,SW82,SW_MX_1u,
?,SW76,SW_MX_1u,
?,SW8,SW_MX_1u,
?,SW83,SW_MX_1u,
?,SW2,SW_MX_1u,
?,SW28,SW_MX_1u,
?,SW42,SW_MX_1u,
?,SW36,SW_MX_1u,
?,SW95,SW_MX_1.25u,
?,SW97,SW_MX_1.25u,
?,SW84,SW_MX_1.75u,
?,SW90,SW_MX_1u,
?,SW51,SW_MX_1u,
?,SW87,SW_MX_1.25u,
?,SW80,SW_MX_1u,
?,SW27,SW_MX_1u,
?,SW9,SW_MX_1u,
?,SW100,SW_MX_1.25u,
?,SW67,SW_MX_1u,
?,SW71,SW_MX_1u,
?,SW40,SW_MX_1u,
?,SW52,SW_MX_1u,
?,SW15,SW_MX_1u,
?,SW46,SW_MX_1u,
?,SW49,SW_MX_1u,
?,SW68,SW_MX_1u,
?,SW65,SW_MX_1u,
?,SW101,SW_MX_1u,
?,SW43,SW_MX_1u,
?,SW79,SW_MX_1u,
?,SW61,SW_MX_1u,
?,SW38,SW_MX_1u,
?,SW34,SW_MX_1u,
?,SW5,SW_MX_1u,
?,SW30,SW_MX_1u,
?,SW57,SW_MX_1u,
?,SW53,SW_MX_1u,
?,SW21,SW_MX_1u,
RSHIFT,S5,STAB_MX_2.75u,
?,SW16,SW_MX_1u,
?,SW47,SW_MX_1u,
?,SW104,SW_MX_1u,
?,SW102,SW_MX_1u,
?,SW69,SW_MX_1u,
?,SW75,SW_MX_1u,
?,SW31,SW_MX_1u,
?,SW24,SW_MX_1u,
?,SW92,SW_MX_1.5u,
ANSI_ENTER,S3,STAB_MX_2.25u,
?,SW32,SW_MX_1u,
